Id,Date,DateLongDescription,DateShortDescription,DayLongName,DayShortName,MonthLongName,MonthShortName,CalendarDay,CalendarWeek,CalendarWeekStartDateId,CalendarWeekEndDateId,CalendarDayInWeek,CalendarMonth,CalendarMonthStartDateId,CalendarMonthEndDateId,CalendarNumberOfDaysInMonth,CalendarDayInMonth,CalendarQuarter,CalendarQuarterStartDateId,CalendarQuarterEndDateId,CalendarNumberOfDaysInQuarter,CalendarDayInQuarter,CalendarYear,CalendarYearStartDateId,CalendarYearEndDateId,CalendarNumberOfDaysInYear,FiscalDay,FiscalWeek,FiscalWeekStartDateId,FiscalWeekEndDateId,FiscalDayInWeek,FiscalMonth,FiscalMonthStartDateId,FiscalMonthEndDateId,FiscalNumberOfDaysInMonth,FiscalDayInMonth,FiscalQuarter,FiscalQuarterStartDateId,FiscalQuarterEndDateId,FiscalNumberOfDaysInQuarter,FiscalDayInQuarter,FiscalYear,FiscalYearStartDateId,FiscalYearEndDateId,FiscalNumberOfDaysInYear
20100101,01-01-2010,"Friday, January 1, 2010","Jan 1, 2010",Friday,Fri,January,Jan,1,53,undefined,20100103,5,1,20100101,20100131,31,1,1,20100101,20100331,90,1,2010,20100101,20101231,365,-1,-1,-1,-1,-1,1,20100101,20100131,31,1,1,20100101,20100331,89,1,2010,20100101,20101231,365
20100102,02-01-2010,"Saturday, January 2, 2010","Jan 2, 2010",Saturday,Sat,January,Jan,2,53,undefined,20100103,6,1,20100101,20100131,31,2,1,20100101,20100331,90,2,2010,20100101,20101231,365,-1,-1,-1,-1,-1,1,20100101,20100131,31,2,1,20100101,20100331,89,2,2010,20100101,20101231,365
20100103,03-01-2010,"Sunday, January 3, 2010","Jan 3, 2010",Sunday,Sun,January,Jan,3,53,undefined,20100103,7,1,20100101,20100131,31,3,1,20100101,20100331,90,3,2010,20100101,20101231,365,-1,-1,-1,-1,-1,1,20100101,20100131,31,3,1,20100101,20100331,89,3,2010,20100101,20101231,365
20100104,04-01-2010,"Monday, January 4, 2010","Jan 4, 2010",Monday,Mon,January,Jan,4,1,20100104,20100110,1,1,20100101,20100131,31,4,1,20100101,20100331,90,4,2010,20100101,20101231,365,-1,-1,-1,-1,-1,1,20100101,20100131,31,4,1,20100101,20100331,89,4,2010,20100101,20101231,365
20100105,05-01-2010,"Tuesday, January 5, 2010","Jan 5, 2010",Tuesday,Tue,January,Jan,5,1,20100104,20100110,2,1,20100101,20100131,31,5,1,20100101,20100331,90,5,2010,20100101,20101231,365,-1,-1,-1,-1,-1,1,20100101,20100131,31,5,1,20100101,20100331,89,5,2010,20100101,20101231,365
20100106,06-01-2010,"Wednesday, January 6, 2010","Jan 6, 2010",Wednesday,Wed,January,Jan,6,1,20100104,20100110,3,1,20100101,20100131,31,6,1,20100101,20100331,90,6,2010,20100101,20101231,365,-1,-1,-1,-1,-1,1,20100101,20100131,31,6,1,20100101,20100331,89,6,2010,20100101,20101231,365
20100107,07-01-2010,"Thursday, January 7, 2010","Jan 7, 2010",Thursday,Thu,January,Jan,7,1,20100104,20100110,4,1,20100101,20100131,31,7,1,20100101,20100331,90,7,2010,20100101,20101231,365,-1,-1,-1,-1,-1,1,20100101,20100131,31,7,1,20100101,20100331,89,7,2010,20100101,20101231,365
20100108,08-01-2010,"Friday, January 8, 2010","Jan 8, 2010",Friday,Fri,January,Jan,8,1,20100104,20100110,5,1,20100101,20100131,31,8,1,20100101,20100331,90,8,2010,20100101,20101231,365,-1,-1,-1,-1,-1,1,20100101,20100131,31,8,1,20100101,20100331,89,8,2010,20100101,20101231,365
20100109,09-01-2010,"Saturday, January 9, 2010","Jan 9, 2010",Saturday,Sat,January,Jan,9,1,20100104,20100110,6,1,20100101,20100131,31,9,1,20100101,20100331,90,9,2010,20100101,20101231,365,-1,-1,-1,-1,-1,1,20100101,20100131,31,9,1,20100101,20100331,89,9,2010,20100101,20101231,365
20100110,10-01-2010,"Sunday, January 10, 2010","Jan 10, 2010",Sunday,Sun,January,Jan,10,1,20100104,20100110,7,1,20100101,20100131,31,10,1,20100101,20100331,90,10,2010,20100101,20101231,365,-1,-1,-1,-1,-1,1,20100101,20100131,31,10,1,20100101,20100331,89,10,2010,20100101,20101231,365
