Transaction_ID,Transaction_Date,Customer_ID,Store_ID,Employee_ID,Product_Id,Quantity_Sold,Payment_Method,Unit_Price,Discount_Amount,Total_sale_amount,Sales_Tax,Revenue
T00001,01-03-2023 00:00,CUST095,ST1001,EMP044,PROD067,3,Debit Card,55486.21,5548.621,16645.863,2996.25534,19642.11834
T00002,01-03-2023 00:00,CUST076,ST1005,EMP029,PROD022,2,UPI,28471.74,2847.174,5694.348,1024.98264,6719.33064
T00003,01-03-2023 00:00,CUST014,ST1001,EMP071,PROD046,5,Debit Card,17795.8,1779.58,8897.9,1601.622,10499.522
T00004,01-03-2023 00:00,CUST021,ST1004,EMP002,PROD078,3,Cash,28459.94,2845.994,8537.982,1536.83676,10074.81876
T00005,01-03-2023 00:00,CUST098,ST1003,EMP036,PROD062,1,Debit Card,60747.06,6074.706,6074.706,1093.44708,7168.15308
T00006,01-03-2023 00:00,CUST005,ST1001,EMP046,PROD070,5,UPI,50020.15,5002.015,25010.075,4501.8135,29511.8885
T00007,01-03-2023 00:00,CUST051,ST1003,EMP076,PROD010,5,Debit Card,96340.67,9634.067,48170.335,8670.6603,56840.9953
T00008,01-03-2023 00:00,CUST039,ST1001,EMP030,PROD061,5,Credit Card,94613.24,9461.324,47306.62,8515.1916,55821.8116
T00009,01-03-2023 00:00,CUST010,ST1001,EMP061,PROD049,4,Cash,17788.31,1778.831,7115.324,1280.75832,8396.08232
T00010,01-03-2023 00:00,CUST008,ST1001,EMP034,PROD013,4,Debit Card,33975.46,3397.546,13590.184,2446.23312,16036.41712
T00011,01-03-2023 00:00,CUST053,ST1004,EMP001,PROD004,5,Cash,81498.93,8149.893,40749.465,7334.9037,48084.3687
T00012,01-03-2023 00:00,CUST081,ST1004,EMP035,PROD088,4,Credit Card,44655.88,4465.588,17862.352,3215.22336,21077.57536
T00013,01-03-2023 00:00,CUST022,ST1003,EMP004,PROD036,3,Debit Card,56076.35,5607.635,16822.905,3028.1229,19851.0279
T00014,01-03-2023 00:00,CUST060,ST1002,EMP030,PROD029,4,Credit Card,64463.78,6446.378,25785.512,4641.39216,30426.90416
T00015,01-03-2023 00:00,CUST070,ST1001,EMP063,PROD001,1,Credit Card,51751.88,5175.188,5175.188,931.53384,6106.72184
T00016,01-03-2023 00:00,CUST072,ST1003,EMP036,PROD069,3,Cash,33717.16,3371.716,10115.148,1820.72664,11935.87464
T00017,01-03-2023 00:00,CUST017,ST1001,EMP051,PROD075,3,Credit Card,5122.51,512.251,1536.753,276.61554,1813.36854
T00018,01-03-2023 00:00,CUST020,ST1003,EMP083,PROD073,5,UPI,88041.68,8804.168,44020.84,7923.7512,51944.5912
T00019,01-03-2023 00:00,CUST073,ST1005,EMP002,PROD026,5,Credit Card,39048.54,3904.854,19524.27,3514.3686,23038.6386
T00020,01-03-2023 00:00,CUST013,ST1004,EMP070,PROD019,5,Debit Card,57587.74,5758.774,28793.87,5182.8966,33976.7666
T00021,01-03-2023 00:00,CUST060,ST1003,EMP017,PROD079,5,UPI,71685.15,7168.515,35842.575,6451.6635,42294.2385
T00022,01-03-2023 00:00,CUST043,ST1005,EMP030,PROD015,2,Debit Card,99876.22,9987.622,19975.244,3595.54392,23570.78792
T00023,01-03-2023 00:00,CUST048,ST1001,EMP075,PROD018,5,Credit Card,77058.65,7705.865,38529.325,6935.2785,45464.6035
T00024,01-03-2023 00:00,CUST078,ST1004,EMP042,PROD007,2,Credit Card,25949.29,2594.929,5189.858,934.17444,6124.03244
T00025,01-03-2023 00:00,CUST053,ST1005,EMP007,PROD048,3,Cash,29332.36,2933.236,8799.708,1583.94744,10383.65544
T00026,01-03-2023 00:00,CUST087,ST1003,EMP007,PROD067,3,Cash,55486.21,5548.621,16645.863,2996.25534,19642.11834
T00027,01-03-2023 00:00,CUST021,ST1003,EMP044,PROD041,3,Cash,32259.26,3225.926,9677.778,1742.00004,11419.77804
T00028,01-03-2023 00:00,CUST021,ST1004,EMP063,PROD095,1,Credit Card,990.62,99.062,99.062,17.83116,116.89316
T00029,01-03-2023 00:00,CUST029,ST1005,EMP063,PROD078,3,UPI,28459.94,2845.994,8537.982,1536.83676,10074.81876
T00030,01-03-2023 00:00,CUST001,ST1001,EMP033,PROD030,1,Cash,72383.01,7238.301,7238.301,1302.89418,8541.19518
T00031,01-03-2023 00:00,CUST080,ST1001,EMP005,PROD040,1,Cash,94738.99,9473.899,9473.899,1705.30182,11179.20082
T00032,01-03-2023 00:00,CUST017,ST1003,EMP099,PROD089,2,Debit Card,67202.07,6720.207,13440.414,2419.27452,15859.68852
